nummer,naam,rating,ptn,perf,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13
1,Hautot Stéphane (IM),2328,11.0,2496,55B +,13W +,16B +,7W -,17B +,19W +,11B +,2W =,3B +,5W +,4B +,9W +,6B =
2,Dgebuadze Alexandre (GM),2526,10.5,2473,53W +,51B +,21W +,4B +,3W =,12B +,6W +,1B =,11W =,7B =,10B =,5W +,13W +
3,Alienkin Aleksander (IM),2358,10.0,2401,59W +,25B +,14W +,6B +,2B =,11W +,7B +,18W =,1W -,4B -,27W +,10B +,16B +
4,Lenaerts Lennert (FM),2303,9.5,2327,73B +,64W +,29B +,2W -,42B +,9W +,62B -,16W +,8B +,3W +,1W -,19B =,7B +
5,Roos Adrian (FM),2289,9.0,2249,57W +,35B +,22W +,62B -,29W -,70B +,15W +,34B +,17W +,1B -,25W +,2B -,20W +
6,Boucquet Emile,2157,9.0,2242,52B +,63W +,9B +,3W -,15B +,31W +,2B -,11W -,20B +,28W +,8B +,7W =,1W =
7,Cools Gorik (FM),2252,9.0,2303,50W +,39B +,27W +,1B +,12W -,29B +,3W -,31B +,62W +,2W =,11B +,6B =,4W -
8,Huynh Laurent,1890,9.0,2191,94W +,30B +,17W -,20B =,25W =,14B +,27W +,22B +,4W -,21B +,6W -,31B +,19W +
9,Aragones-Melhem Georgy,2026,9.0,2148,81W +,80B +,6W -,68B +,14W +,4B -,74W +,10B =,12W +,25B =,31W +,1B -,18W +
10,Wantiez Fabrice (FM),2260,9.0,2216,49B +,23W +,42B -,64W =,13B +,26W +,16B =,9W =,18B +,62B F,2W =,3W -,14B +
11,Claesen Pieter (IM),2318,8.5,2266,74W +,31B +,20W +,45B +,62W +,3B -,1W -,6B +,2B =,13W +,7W -,18B -,26B +
12,Dardha Daniel (FM),1932,8.5,2145,86W +,17B =,26W F,42W +,7B +,2W -,18B -,19W +,9B -,26W -,40B +,51B +,30W +
13,Lot Diederik,1976,8.5,2088,76W +,1B -,57W +,65B +,10W -,32B +,19B =,40W +,41W +,11B -,17B +,26W +,2B -
14,Depauw Christian,2078,8.0,2015,66B +,68W +,3B -,36W +,9B -,8W -,55B +,23B +,31W -,63W +,43B +,33B +,10W -
15,Roels Frederik,2010,8.0,1974,75W +,62B -,74W +,56B +,6W -,45B +,5B -,32W -,54B +,43W -,55B +,47W +,41W +
16,Mayr Thomas,2110,8.0,2159,90W +,47B +,1W -,28B +,45W +,62B =,10W =,4B -,27W -,23B +,22W +,25B +,3W -
17,Dardha Arben (FM),2218,8.0,2104,79B +,12W =,8B +,24B +,1W -,63W +,40B +,62W =,5B -,27B -,13W -,36W +,31B +
18,Vanderwaeren Serge (FM),2189,8.0,2091,77W +,28B +,45W -,35B +,22W =,41B +,12W +,3B =,10W -,31B -,39B +,11W +,9B -
19,Goormachtigh Johan (FM),2143,8.0,2072,32W +,70B +,62W -,39B +,27W +,1B -,13W =,12B -,33W +,41B +,51W +,4W =,8B -
20,Devolder Dieter,2058,8.0,2011,46B +,44W +,11B -,8W =,40B -,73W +,63B +,28W =,6W -,58B +,32B +,21W +,5B -
21,De Villers Mourad,2123,8.0,2029,38B +,36W +,2B -,23W =,64B +,40W -,43B =,56W +,35B +,8W -,28B +,20B -,39W +
22,Vanobbergh Gregory,2052,8.0,2019,82B +,40W +,5B -,43W +,18B =,34W -,50B +,8W -,49B +,39W =,16B -,63W +,35B +
23,Vanden Bussche Steven,1942,8.0,1985,87W +,10B -,77W +,21B =,30W =,65B +,34B -,14W -,55B +,16W -,54B +,46W +,42B +
24,Roos David,2079,8.0,1981,78W =,67B +,41B +,17W -,63B -,33W +,44B +,39W -,64B +,32W +,26B -,42W =,27B +
25,De Block Yordi,1985,8.0,1987,95B +,3W -,79B +,40W =,8B =,44W =,71B +,43W +,39B +,9W =,5B -,16W -,32W +
26,Van De Wynkele Herman,2030,7.5,2010,71B +,41W =,12B f,51B +,78W +,10B -,28W -,44W +,40B +,12B +,24W +,13B -,11W -
27,Versyck Dominique,2015,7.5,2039,89B +,65W +,7B -,44W +,19B -,54W +,8B -,79W +,16B +,17W +,3B -,30B =,24W -
28,Atanasiu Nicolae,1926,7.5,1979,85B +,18W -,46B +,16W -,50B =,66W +,26B +,20B =,30W +,6B -,21W -,49W =,51B +
29,Lejeune Vincent,2054,7.5,1979,88W +,56B +,4W -,47B +,5B +,7W -,31B -,49W =,43B =,36W -,48W =,73B +,33W +
30,Spanoghe Ivan,2090,7.5,1933,37B +,8W -,55B +,63W =,23B =,43W -,54B +,74W +,28B -,70W +,36B +,27W =,12B -
31,Harutyunyan Axel,1954,7.0,2054,98B +,11W -,52B +,54W +,34B +,6B -,29W +,7W -,14B +,18W +,9B -,8W -,17W -
32,Sohet Cedric,1714,7.0,1911,19B -,99W +,63B -,83W +,36B +,13W -,73B +,15B +,34W +,24B -,20W -,64W +,25B -
33,Escribano Illan Juan Carlos,0,7.0,1955,63B -,38W +,40B -,37W +,55B +,24B -,48W +,67W +,19B -,35W +,34B +,14W -,29B -
34,Saligo Luc,2067,7.0,1885,60W +,45B -,59W +,70B +,31W -,22B +,23W +,5W -,32B -,48B +,33W -,41B -,57W +
35,Solsky Itzhak,1942,7.0,1810,93B +,5W -,37B +,18W -,41W -,60B +,57W +,65B +,21W -,33B -,79W +,66B +,22W -
36,Verrijken Geert,1908,7.0,1843,96W +,21B -,60W +,14B -,32W -,72B +,65W -,88B +,57W +,29B +,30W -,17B -,59W +
37,Bertrand Stijn,1634,7.0,1618,30W -,96B +,35W -,33B -,80W -,92B +,85W +,70B -,81W +,59B -,72W +,56B +,68W +
38,Wlogalski Olivier,1668,7.0,1603,21W -,33B -,96W +,80B +,47W -,56B -,87W +,58B -,72W -,84B +,81W +,70B +,63B +
39,Vanmuylder Dany,1934,7.0,1969,91B +,7W -,66B +,19W -,49B +,46W +,42B =,24B +,25W -,22B =,18W -,43W +,21B -
40,Parreira Luis Miguel,1833,7.0,1885,100W&nbsp;+,22B -,33W +,25B =,20W +,21B +,17W -,13B -,26W -,68B +,12W -,65B =,60W +
41,Vanduyfhuys Daria,1488,7.0,1908,67B +,26B =,24W -,73W +,35B +,18W -,64B +,42W +,13B -,19W -,47B =,34W +,15B -
42,Kurpnieks Vairis,2047,7.0,1968,72W +,48B +,10W +,12B -,4W -,47B +,39W =,41B -,68W +,51B -,44W +,24B =,23W -
43,De Reymaeker Walter,1872,7.0,1878,80W -,78B +,72W +,22B -,60W +,30B +,21W =,25B -,29W =,15B +,14W -,39B -,65W +
44,De Block Fabio,1855,7.0,1854,84W +,20B -,81W +,27B -,72W +,25B =,24W -,26B -,52W +,67B +,42B -,69W +,49B =
45,Pleysier Simon,1871,7.0,1823,83B +,34W +,18B +,11W -,16B -,15W -,46B =,71W -,69B +,49W =,66B -,79W +,58B +
46,El Ayoubi Said,1574,7.0,1860,20W -,83B +,28W -,48B +,56W +,39B -,45W =,68B -,53W +,64W =,70B +,23B -,73W +
47,Morozova Iuliia (WFM),1904,7.0,1754,92B +,16W -,71B +,29W -,38B +,42W -,79B -,69W =,65W +,78B +,41W =,15B -,66W +
48,Duringer Valentin,1830,7.0,1738,102B&nbsp;+,42W -,65B -,46W -,69B +,83W +,33B -,82W +,79B +,34W -,29B =,67W =,64B +
49,Flamee Dirk,1757,7.0,1874,10W -,58B +,51W +,78B -,39W -,84B +,70W +,29B =,22W -,45B =,56W +,28B =,44W =
50,Barbier Astrid,1753,7.0,1806,7B -,91W +,64B -,95W +,28W =,53B +,22W -,51B -,66W =,65B =,88W +,68B =,67B +
51,Miulescu Gabriel (IM),2007,6.5,1861,69B +,2W -,49B -,26W -,95B +,52W =,90B +,50W +,71B +,42W +,19B -,12W -,28W -
52,Drossart Jonathan,1732,6.5,1621,6W -,86B +,31W -,58B -,87W +,51B =,78W -,90W +,44B -,92B +,65W -,88B +,71W +
53,Van de Velde Filip,1802,6.5,1639,2B -,89W -,85B +,82W +,71B =,50W -,66B +,64W -,46B -,69W -,93B +,90W +,78B +
54,De Bosscher Peter,1802,6.0,1736,62W -,75B +,80W +,31B -,58W +,27B -,30W -,60B +,15W -,72B +,23W -,57B -,81W +
55,Kuijpers Domien,1800,6.0,1688,1W -,95B +,30W -,81B +,33W -,58B +,14W -,72B +,23W -,75B +,15W -,60B -,82B +
56,Marchal Laurent,1840,6.0,1669,97B +,29W -,89B +,15W -,46B -,38W +,82B +,21B -,58W -,71W +,49B -,37W -,79B +
57,De True Toon,1767,6.0,1758,5B -,93W +,13B -,69W +,67B -,61W +,35B -,83W +,36B -,80W +,63B -,54W +,34B -
58,Vanduyfhuys Igor,1403,6.0,1691,64B -,49W -,97B +,52W +,54B -,55W -,61B +,38W +,56B +,20W -,67W -,74B +,45W -
59,Terryn Ezra,1800,6.0,1701,3B -,69W +,34B -,71W -,86B +,91W +,67B -,80W +,63B -,37W +,64B -,82W +,36B -
60,Akuatse Angel Kaleb,1585,6.0,1545,34B -,101W&nbsp;+,36B -,102W&nbsp;+,43B -,35W -,93B +,54W -,80B -,91W +,83B +,55W +,40B -
61,Pletinckx Eddy,1827,6.0,1483,65W -,81B -,76W +,72B -,75W +,57B -,58W -,87B +,84W +,79B -,82W -,94B +,80W +
62,Abolianin Arthur (IM),2375,6.0,2304,54B +,15W +,19B +,5W +,11B -,16W =,4W +,17B =,7B -,10W f,...,...,...
63,Minet Julien,1919,6.0,1880,33W +,6B -,32W +,30B =,24W +,17B -,20W -,78B =,59W +,14B -,57W +,22B -,38W -
64,Verstraeten Jan,1953,6.0,1814,58W +,4B -,50W +,10B =,21W -,78B +,41W -,53B +,24W -,46B =,59W +,32B -,48W -
65,Taleb Mohamad,0,6.0,1831,61B +,27B -,48W +,13W -,90B +,23W -,36B +,35W -,47B -,50W =,52B +,40W =,43B -
66,Degraeve Ruben,1614,6.0,1740,14W -,94B +,39W -,84B +,68W =,28B -,53W -,73W +,50B =,74B +,45W +,35W -,47B -
67,Soubrier Aude,1991,6.0,1697,41W -,24W -,86B +,88B +,57W +,74B -,59W +,33B -,78W =,44W -,58B +,48B =,50W -
68,Meskens Stephan,1876,6.0,1683,101B&nbsp;+,14B -,88W +,9W -,66B =,71W -,76B +,46W +,42B -,40W -,78B +,50W =,37B -
69,Caudron Meindert,1498,6.0,1636,51W -,59B -,94W +,57B -,48W -,96B +,84W +,47B =,45W -,53B +,77W +,44B -,70W =
70,Van Haelst Raymond,1911,5.5,1738,99B +,19W -,82B +,34W -,79B +,5W -,49B -,37W +,74B +,30B -,46W -,38W -,69B =
71,De True Kwinten,1552,5.5,1738,26W -,100B&nbsp;+,47W -,59B +,53W =,68B +,25W -,45B +,51W -,56B -,73W -,77B +,52B -
72,Guerit Justin,1564,5.5,1594,42B -,102W&nbsp;+,43B -,61W +,44B -,36W -,86B +,55W -,38B +,54W -,37B -,91W =,90B +
73,Satti Abdelkader,1772,5.5,1607,4W -,76B =,90W +,41B -,92W +,20B -,32W -,66B -,95B +,89W +,71B +,29W -,46B -
74,Vennekens Camiel,1786,5.5,1668,11B -,98W +,15B -,89W +,91B +,67W +,9B -,30B -,70W -,66W -,80B +,58W -,75B =
75,Elinckx Michel,1501,5.5,1473,15B -,54W -,99B +,79W -,61B -,94W +,83B -,76W +,82B +,55W -,90B -,85B +,74W =
76,Gulieva Karina,1412,5.5,1409,13B -,73W =,61B -,92W -,100W&nbsp;+,81B +,68W -,75B -,90B -,85W +,89B +,78W -,91B +
77,Cornelis Eric,1733,5.5,1457,18B -,85W +,23B -,91W -,83B -,90W -,101B&nbsp;+,86W +,89B =,93W +,69B -,71W -,92B +
78,Riquembourg Julien,1622,5.5,1749,24B =,43W -,92B +,49W +,26B -,64W -,52B +,63W =,67B =,47W -,68W -,76B +,53W -
79,Silvain Thierry,1744,5.0,1735,17W -,87B +,25W -,75B +,70W -,88B +,47W +,27B -,48W -,61W +,35B -,45B -,56W -
80,Van Haesendonck Robbe,0,5.0,1626,43B +,9W -,54B -,38W -,37B +,82W -,81W +,59B -,60W +,57B -,74W -,98B +,61B -
81,Licandro Federico,1522,5.0,1415,9B -,61W +,44B -,55W -,102B&nbsp;+,76W -,80B -,91W +,37B -,97W +,38B -,86W +,54B -
82,Snyers Pieter,1572,5.0,1526,22W -,84B +,70W -,53B -,96W +,80B +,56W -,48B -,75W -,86W +,61B +,59B -,55W -
83,Bultijnck Kristoff,0,5.0,1373,45W -,46W -,98B +,32B -,77W +,48B -,75W +,57B -,92W -,87B +,60W -,89W -,95B +
84,Lesschaeve Seppe,0,5.0,1265,44B -,82W -,93B +,66W -,89B +,49W -,69B -,95W +,61B -,38W -,86B -,100W&nbsp;+,98W +
85,Smeyers Johan,0,5.0,1215,28W -,77B -,53W -,97B +,88W -,89W +,37B -,93W -,98B +,76B -,87W +,75W -,94B +
86,D'Hoedt Bob,0,5.0,1090,12B -,52W -,67W -,94B +,59W -,95B +,72W -,77B -,100W&nbsp;+,82B -,84W +,81B -,97W +
87,Souweine Edwige,1022,5.0,842,23B -,79W -,102B&nbsp;-,101W&nbsp;+,52B -,97W +,38B -,61W -,99B +,83W -,85B -,96W +,100B&nbsp;+
88,Van Steenwinckel Hugo,1573,5.0,1531,29B -,97W +,68B -,67W -,85B +,79W -,91B +,36W -,93B =,90W +,50B -,52W -,89B =
89,Fivez Stev,1518,5.0,1407,27W -,53B +,56W -,74B -,84W -,85B -,92W +,94B +,77W =,73B -,76W -,83B +,88W =
90,Skowron Jean-Pol,1648,4.5,1509,16B -,92W =,73B -,98W +,65W -,77B +,51W -,52B -,76W +,88B -,75W +,53B -,72W -
91,Cirlig Carmen Cristina,0,4.5,1171,39W -,50B -,100W&nbsp;+,77B +,74W -,59B -,88W -,81B -,94W +,60B -,96W +,72B =,76W -
92,Hamers Niels,0,4.5,1258,47W -,90B =,78W -,76B +,73B -,37W -,89B -,97W +,83B +,52W -,98B -,93W +,77W -
93,Marchal Anais,1401,4.5,1218,35W -,57B -,84W -,96B -,101W&nbsp;+,100B&nbsp;+,60W -,85B +,88W =,77B -,53W -,92B -,99B +
94,Beckers Stijn,0,4.0,724,8B -,66W -,69B -,86W -,98B +,75B -,100W&nbsp;+,89W -,91B -,99W +,97B +,61W -,85W -
95,Huysman Robert,1458,4.0,1205,25W -,55W -,101B&nbsp;+,50B -,51W -,86W -,102B&nbsp;+,84B -,73W -,96B -,100B&nbsp;+,99W +,83W -
96,Lerinckx Niels,0,4.0,820,36B -,37W -,38B -,93W +,82B -,69W -,99B -,101W&nbsp;+,97B -,95W +,91B -,87B -,bye
97,Lerinckx Sander,0,4.0,537,56W -,88B -,58W -,85W -,99B +,87B -,98W +,92B -,96W +,81B -,94W -,bye,86B -
98,Anne Philippe,1409,4.0,1038,31W -,74B -,83W -,90B -,94W -,102W&nbsp;+,97B -,100B&nbsp;+,85W -,101B&nbsp;+,92W +,80W -,84B -
99,Vanrossum Mathias,0,3.0,477,70W -,32B -,75W -,100B&nbsp;-,97W -,101B&nbsp;-,96W +,102B&nbsp;+,87W -,94B -,bye,95B -,93W -
100,Bouaouina Ilias,0,2.0,439,40B -,71W -,91B -,99W +,76B -,93W -,94B -,98W -,86B -,bye,95W -,84B -,87W -
101,Huyghe Felix,0,2.0,813,68W -,60B -,95W -,87B -,93B -,99W +,77W -,96B -,bye,98W -,...,...,...
102,Laureys Mats,0,1.0,976,48W -,72B -,87W +,60B -,81W -,98B -,95W -,99W -,...,...,...,...,...
